"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2369","getStoreInventory","Gradle suite","Sun Nov 09 20:43:30 UTC 2025","passed","Sun Nov 09 20:43:32 UTC 2025","tests.PetStoreTest","Gradle test","tests.PetStoreTest","getStoreInventory"
"","271","logoutUser","Gradle suite","Sun Nov 09 20:43:32 UTC 2025","passed","Sun Nov 09 20:43:33 UTC 2025","tests.PetStoreTest","Gradle test","tests.PetStoreTest","logoutUser"
